customer_id,customer_name,tender_id,title,organizer,budget,currency,status,publish_date,deadline,url
"405142634","Ander Konstrakshen","NAT260005910","Contract awarded Ongoing Winner: shps ""alme"" Bidders - 2 Electronic Tender Without Reverse Auction(NAT) Announcment number: NAT260005910 Procurement announcment date: 24.03.2026 Offer reception term: 06.04.2026 Procuring entities: Municipality of Aspindza Procuring category: 45200000-Works for complete or part construction and civil engineering work Estimated value of procurement: 592`990.00 GEL","Municipality of Aspindza","592`990.00 GEL","GEL","Contract awarded","24.03.2026","06.04.2026","https://tenders.procurement.gov.ge/public/?lang=ru&go=678256"
"405142634","Ander Konstrakshen","NAT260005247","Contract awarded Ongoing Winner: shps ander konstrakshen Bidders - 3 Electronic Tender Without Reverse Auction(NAT) Announcment number: NAT260005247 Procurement announcment date: 16.03.2026 Offer reception term: 07.04.2026 Procuring entities: Tbilisi City Hall Procuring category: 45100000-Site preparation work Estimated value of procurement: 4`999`958.00 GEL","Tbilisi City Hall","4`999`958.00 GEL","GEL","Contract awarded","16.03.2026","07.04.2026","https://tenders.procurement.gov.ge/public/?lang=ru&go=670958"
"405142634","Ander Konstrakshen","NAT260001947","Contract awarded Ongoing Winner: shps ander konstrakshen Bidders - 1 Electronic Tender Without Reverse Auction(NAT) Announcment number: NAT260001947 Procurement announcment date: 06.02.2026 Offer reception term: 09.03.2026 Procuring entities: Tbilisi City Hall Procuring category: 37500000-Games and toys; fairground amusements Estimated value of procurement: 1`075`200.00 GEL","Tbilisi City Hall","1`075`200.00 GEL","GEL","Contract awarded","06.02.2026","09.03.2026","https://tenders.procurement.gov.ge/public/?lang=ru&go=670501"
"405142634","Ander Konstrakshen","NAT260001309","Contract awarded Ongoing Winner: shps ander konstrakshen Bidders - 2 Electronic Tender Without Reverse Auction(NAT) Announcment number: NAT260001309 Procurement announcment date: 28.01.2026 Offer reception term: 18.02.2026 Procuring entities: Tbilisi City Hall Procuring category: 45300000-Building installation work Estimated value of procurement: 99`783.00 GEL","Tbilisi City Hall","99`783.00 GEL","GEL","Contract awarded","28.01.2026","18.02.2026","https://tenders.procurement.gov.ge/public/?lang=ru&go=669269"
"405142634","Ander Konstrakshen","NAT250024736","Contract awarded Ongoing Winner: monoliti-2005 Bidders - 4 Electronic Tender Without Reverse Auction(NAT) Announcment number: NAT250024736 Procurement announcment date: 31.12.2025 Offer reception term: 21.01.2026 Procuring entities: Tbilisi Saburtalo District Gamgeoba Procuring category: 45100000-Site preparation work Estimated value of procurement: 3`808`388.00 GEL","Tbilisi Saburtalo District Gamgeoba","3`808`388.00 GEL","GEL","Contract awarded","31.12.2025","21.01.2026","https://tenders.procurement.gov.ge/public/?lang=ru&go=662331"
"405142634","Ander Konstrakshen","NAT250024597","Contract awarded Ongoing Winner: shps tao Bidders - 6 Electronic Tender Without Reverse Auction(NAT) Announcment number: NAT250024597 Procurement announcment date: 29.12.2025 Offer reception term: 22.01.2026 Procuring entities: Tbilisi Gldani District Gamgeoba Procuring category: 45100000-Site preparation work Estimated value of procurement: 926`064.00 GEL","Tbilisi Gldani District Gamgeoba","926`064.00 GEL","GEL","Contract awarded","29.12.2025","22.01.2026","https://tenders.procurement.gov.ge/public/?lang=ru&go=663562"
"405142634","Ander Konstrakshen","NAT250023159","Contract awarded Ongoing Winner: shps regrini Bidders - 8 Electronic Tender Without Reverse Auction(NAT) Announcment number: NAT250023159 Procurement announcment date: 11.12.2025 Offer reception term: 06.01.2026 Procuring entities: Tbilisi Gldani District Gamgeoba Procuring category: 45100000-Site preparation work Estimated value of procurement: 992`057.00 GEL","Tbilisi Gldani District Gamgeoba","992`057.00 GEL","GEL","Contract awarded","11.12.2025","06.01.2026","https://tenders.procurement.gov.ge/public/?lang=ru&go=659569"
"405142634","Ander Konstrakshen","NAT250023147","Contract awarded Ongoing Winner: shps ander konstrakshen Bidders - 6 Electronic Tender Without Reverse Auction(NAT) Announcment number: NAT250023147 Procurement announcment date: 11.12.2025 Offer reception term: 05.01.2026 Procuring entities: Tbilisi Gldani District Gamgeoba Procuring category: 45100000-Site preparation work Estimated value of procurement: 695`156.00 GEL","Tbilisi Gldani District Gamgeoba","695`156.00 GEL","GEL","Contract awarded","11.12.2025","05.01.2026","https://tenders.procurement.gov.ge/public/?lang=ru&go=659563"
"424611441","Lago","NAT260006413","Contract awarded Ongoing Winner: lago Bidders - 3 Electronic Tender Without Reverse Auction(NAT) Announcment number: NAT260006413 Procurement announcment date: 30.03.2026 Offer reception term: 20.04.2026 Procuring entities: Tbilisi Saburtalo District Gamgeoba Procuring category: 45100000-Site preparation work Estimated value of procurement: 400`000.00 GEL","Tbilisi Saburtalo District Gamgeoba","400`000.00 GEL","GEL","Contract awarded","30.03.2026","20.04.2026","https://tenders.procurement.gov.ge/public/?lang=ru&go=680266"
"424611441","Lago","NAT260003144","Contract awarded Ongoing Winner: shps Our Group chveni jgupi Bidders - 4 Electronic Tender Without Reverse Auction(NAT) Announcment number: NAT260003144 Procurement announcment date: 19.02.2026 Offer reception term: 12.03.2026 Procuring entities: Tbilisi Vake District Gamgeoba Procuring category: 45100000-Site preparation work Estimated value of procurement: 1`459`540.00 GEL","Tbilisi Vake District Gamgeoba","1`459`540.00 GEL","GEL","Contract awarded","19.02.2026","12.03.2026","https://tenders.procurement.gov.ge/public/?lang=ru&go=666731"
